"ProjectID","TransactionID","TransactionTitle","WrittenDescription","ProcurementCategory","TenderNoticeSource","ContractAwardID","ContractorName","ContractorCountry","ContractAmount","ContractCurrency","ContractAmountUsd","DateOfAward","StartDate","EndDate","ContractAwardSource"
"872382368","872382368-60","DRILP/SKD/LCB/03","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","68","Oasis Engg. And Builders","Nepal","6669833","NPR","97963","2008-04-25","","2009-04-30","DRILP-Lamjung.pdf"
"872382368","872382368-61","DRILP/SKD/LCB/04","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","69","Nayabato,Machhapu,Parajuli JV","Nepal","5892021","NPR","86539","2008-09-07","","2009-03-15","DRILP-Lamjung.pdf"
"872382368","872382368-62","DRILP/SKD/LCB/05","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","70","Gaura and JV","Nepal","3795039","NPR","55739","2008-05-31","","2009-07-30","DRILP-Lamjung.pdf"
"872382368","872382368-63","DRILP/SKD/LCB/06","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","71","Ashoka and JV","Nepal","1636211","NPR","24032","2008-04-24","","2009-07-30","DRILP-Lamjung.pdf"
"872382368","872382368-64","DRILP/SKD/Grav/NCB/01","Gravel laying","Civil Works","DRILP-Lamjung.pdf","72","Swachhanda,Lokpriya JV","Nepal","34761549","NPR","483316","2010-07-14","","2011-06-29","DRILP-Lamjung.pdf"
"872382368","872382368-65","DRILP/SKD/Grav/NCB/02","Gravel laying","Civil Works","DRILP-Lamjung.pdf","73","Ashish,Shankarmali JV","Nepal","32529110","NPR","452277","2010-07-14","","2011-06-29","DRILP-Lamjung.pdf"
"872382368","872382368-66","DRILP/LAM/SKD/MB/NCB-03","Bridge Building","Civil Works","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-67","DRILP/SKD/Additional/WORKs/01","additional work","Civil Works","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-68","DRILP/SKD/Additional/WORKs/02","additional work","Civil Works","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-69","DRILP/SKD/PIPE CROSSING WORKS/SHOPPING/01","Construction for pipe crossing","Civil Works","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-7","DRILP/JUMLA/TU/NCB/07","Road construction","Civil Works","","74","M/S Bajara Guru & JV","Nepal","12629369","NPR","174398","","2009-06-01","2010-02-26","DRILP - Jumla.pdf"
"872382368","872382368-70","DRILP/Bridge/Survery/Paudi-01","survey work for bridge construction","Consultant Services","DRILP-Lamjung.pdf","75","Biswa,Milstone JV","Nepal","429400","NPR","5930","","","","DRILP-Lamjung.pdf"
"872382368","872382368-71","DRILP/Bridge/Survey/Risti-02","survey work for bridge construction","Consultant Services","DRILP-Lamjung.pdf","76","RID Consultant P. Ltd.","Nepal","508500","NPR","7022","","","","DRILP-Lamjung.pdf"
"872382368","872382368-72","Gabion procurement, ADB concurred","procurement of gabion","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-73","Hand Tools","purchase of hand tools","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-74","Hand Tools(10 BGs)","purchase of hand tools","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-75","For Gabion Procurement of Pkg 4","procurement of gabion","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-76","Rock Drilling Machine purchasingPCU concurrence","Purchase of rock drilling machine","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-77","PCU concurrence for Gabion wire procurement for Pkg. o2","purchase of wire","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-78","Gabion Procurement","procurement of gabion","Goods","DRILP-Lamjung.pdf","77","","","2572275","NPR","35520","","","","DRILP-Lamjung.pdf"
"872382368","872382368-79","PCU conc. For proc of Hume pipe and HDP pipr for road","purchase of pipes","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-8","DRILP/JUMLA/TU/NCB/08","Road construction","Civil Works","","78","Rautaha and JV","Nepal","11083767","NPR","153055","","2009-02-12","2009-11-22","DRILP - Jumla.pdf"
"872382368","872382368-80","DRILP/SKD/gabion/shopping/ncb/01","procurement of gabion","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-81","DRILP/SG/prot & Rehab/works/NCB/01","rehabilitation of road","Civil Works","DRILP-Lamjung.pdf","79","Pramod Cons.","Nepal","1149265","NPR","15979","2010-06-14","","2011-03-14","DRILP-Lamjung.pdf"
"872382368","872382368-82","DRILP/Sg/Works/NCB/01","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","80","Lohani and JV","Nepal","6085712","NPR","84614","2010-06-21","","2011-06-13","DRILP-Lamjung.pdf"
"872382368","872382368-83","DRILP/Lamjung/SG/NCB/02","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","81","Nirman Sewa and JV","Nepal","6640397","NPR","87155","2009-10-07","","2011-04-02","DRILP-Lamjung.pdf"
"872382368","872382368-84","DRILP/SG/Works/NCB/03","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","82","Bishal and JV","Nepal","5784584","NPR","80427","2010-06-14","","2011-03-14","DRILP-Lamjung.pdf"
"872382368","872382368-85","Pcu concurrene for prourement of hand tolls & equipments","procurement of hand tools","Goods","DRILP-Lamjung.pdf","83","","","238000","NPR","3287","","","","DRILP-Lamjung.pdf"
"872382368","872382368-86","PCU concurrence for procurement and fabrication of GI wire","procurement of gi wire","Goods","DRILP-Lamjung.pdf","84","","","2575275","NPR","35562","","","","DRILP-Lamjung.pdf"
"872382368","872382368-87","PCU concurrence for procurment of additional tools","procurement of hand tools","Goods","DRILP-Lamjung.pdf","85","","","36164","NPR","499","","","","DRILP-Lamjung.pdf"
"872382368","872382368-88","PCUs' concurrence for procurement of Gabion boxes for 1&3 and BGs work","purcahse of gabion boxes","Goods","DRILP-Lamjung.pdf","","","","","","","","","",""
"872382368","872382368-9","DRILP/JUMLA/TU/NCB/09","Road construction","Civil Works","","86","Lokbir,Dulikhel,Jagadamba JV","Nepal","14229391","NPR","196493","","2009-07-09","2010-10-22","DRILP - Jumla.pdf"
"8723814206","8723814206-1","SDC agreed to provide a Technical Assistant (TA) to DoLIDAR to support the implementation of Local Roads Bridge Program (LRBP)","Upon GoN's request, SDC agreed to provide a Technical Assistant (TA) to DoLIDAR to support the implementation of Local Roads Bridge Program (LRBP) that is planned for 10 to 12 years. In this regard, a Bilateral Agreement between Government of Nepal and Go","Civil Works","","1","Swiss Agency for Development and Cooperation","Switzerland","","","","2011-03-23","2013-02-01","2014-11-30","http://www.dolidar.gov.np/program-projects/suspension-bridge-project/"
"8723814206","8723814206-10","Construction of Shani Bheri Phalamegaunda Bridge Project","Employer is desirous that the Contractor execute Fabrication, Transportation and Erection of Shani Bheri Phalamegaunda Bridge Project","Civil Works","","2","M/S Nepal Hydro | Electric Ltd.","Nepal","18516229","NPR","243024","2009-07-12","","","8723814206-D15.docx"
"8723814206","8723814206-11","Construction of Motorable Bridge over Shani Bheri at Phalamegaunda.","Contract discussing construction Supervision, Quality Control and other Technical support for Motorable Bridge over Shani Bheri at Phalamegaunda in Rukum District","Civil Works","","3","M/S Eastconsult","Nepal","4713700","NPR","61867","2009-11-10","","","8723814206-D16.docx"
"8723814206","8723814206-12","Construction of Bridge over Likhu Khola River","Employer is desirous that the Contractor execute Construction of Steel Truss Bridge over Likhu Khola River along Bamti Bhandar Chaulakharka Road Section at Ramechhap district","Civil Works","8723814206-D21(real).pdf","4","M/S Siruwa-Lokpriya JV","Nepal","39600629","NPR","541148","2011-06-27","","2014-02-15","8723814206-D17.docx"
"8723814206","8723814206-13","Construction of Bridge over Jhimruk Khola River","Employer is desirous that the Contractor execute Construction of RCC Bridge over Jhimruk Khola River along Bijuwar Khalanga Road Section in Pyuthan district.","Civil Works","8723814206-D20.pdf","5","M/S Jagat Dharmendra Nirman Sewa JV","Nepal","31202682","NPR","373441","2012-08-27","","2014-12-18","8723814206-D18.docx"
"8723814206","8723814206-14","Construction of Bridge over Chauri Khola River","Employer is desirous that the Contractor execute Construction of Motorable Bridge over Chauri Khola River Bridge along Katike Deurali Gunsi Road Section at Kavrepalanchowk district","Civil Works","","6","M/S Sarv Uddar/Sagarmatha JV","Nepal","17198855","NPR","235025","2011-06-05","","2014-02-15","8723814206-D19.docx"
"8723814206","8723814206-15","Construction of Sapsu Bridge along Maure Foksingtar Road","The Government of Nepal has allocated funds towards the cost of Sapsu Khola Bridge, Khotang District.","Civil Works","8723814206-D22.pdf","","","","","","","","","",""
"8723814206","8723814206-16","Supply and manufacturing of Steel Wire Ropes","Employer is desirous that the Supplier execute the manufacturing of Steel Wire Ropes and supply the goods after the required testing as per ISI to the different destination as specified in bid (Supply of Steel Wire Rope Package)","Goods","8723814206-D26.pdf","7","M/S Sutlej Wire Ropes","India","735076","USD","735076","2011-11-01","","","8723814206-D25.doc"
"8723814206","8723814206-2","Construction of Molung Khola Bridge, Okhaldhunga District","The Government of Nepal has allocated funds towards the cost of construction of Molung Khola Bridge and intends to apply part of the funds to cover eligible payments under the contract for LRBP/OKHALDHUNGA/MKB/NCB/01/069/070. Bidding is open to all eligib","Civil Works","http://edolidar.gov.np/tender_details.php?tid=21941","","","","","","","","","",""
"8723814206","8723814206-3","Construction of Kuntabesi-Nayagau Road","The Government of Nepal [GoN], Local Road Bridge Programme has allocated funds towards the cost of Cha Khola RCC Bridge Construction Project and intends to apply part of the funds to cover eligible payments under the Contract for LRBP/W/NCB/Kavre/DDC/01/C","Civil Works","http://edolidar.gov.np/tender_details.php?tid=16741","","","","","","","","","",""
"8723814206","8723814206-4","Construction of Dhangadhi-Piprahi Road over Dora river","The Government of Nepal (GoN) has allocated funds towards the cost of LRBP and intends to apply part of the funds to cover eligible payments under the Contract for (DoraKhola Bridge at Dhangadhi-Piprahi Road, Jijhaul - 6, Siraha.)","Civil Works","http://edolidar.gov.np/tender_details.php?tid=11627","","","","","","","","","",""
"8723814206","8723814206-5","Construction of Sallery-Tamakhani road over Solu Khola","The Government of Nepal [GoN] has allocated funds towards the cost of LRBP and intends to apply part of the funds to cover eligible payments under the Contract for Solu Khola Bridge at Boldok Phedi in Sallery - Tamakhani - Goli - Chaularkharka - Bamti Bha","Civil Works","http://edolidar.gov.np/tender_details.php?tid=9746","","","","","","","","","",""
"8723814206","8723814206-6","Construction of Dhayadikhola Rolad Bridge at Rajpur-Tikhatar Road","The Government of Nepal (GoN) has allocated funds towards the cost of LRBP and intends to apply part of the funds to cover eligible payments under the Contract for Dhayadikhola Rolad Bridge at Rajpur-Tikhatar Road.","Civil Works","http://edolidar.gov.np/tender_details.php?tid=8894","","","","","","","","","",""
"8723814206","8723814206-7","Construction of bridge on Bhakuwa Khola at Dumariya-bairiya road and on Bhakuwa Khola at Patharabudhram-Sagaiya road","Office of District Development Committee Rautahat invites sealed bids from eligible bidders for the construction of open foundation single span bridge on Bhakuwa Khola at Dumariya-bairiya road and pile foundation double span bridge on Bhakuwa Khola at Pat","Civil Works","http://edolidar.gov.np/tender_details.php?tid=6923 | http://edolidar.gov.np/tender_details.php?tid=6934","8 |10","","","","","","","","","http://edolidar.gov.np/tender_details.php?tid=6923 | http://edolidar.gov.np/tender_details.php?tid=6934"
"8723814206","8723814206-8","Construction of Motorable Bridge over SrahiNala at Hallanager.","Employer is desirous that the Contractor execute Construction of Motorable Bridge over SurahiNala at Hallanagar, Kapilbastu district","Civil Works","8723814206-D23.pdf","12","M/S MahaLaxmi | Pacific JV","Nepal","54899695","NPR","750211","2011-04-19","","2013-09-21","8723814206-D13.docx"
"8723814206","8723814206-9","Construction of Motorable Bridge over Shani Bheri at Phalamegaunda.","Employer is desirous that the Contractor execute Construction of Motorable Bridge over Shani Bheri at Phalamegaunda, Rukum district","Civil Works","8723814206-D24.doc","13","M/S Kankai | Shailung | Diwa Nirman Sewa JV","Nepal","46329992","NPR","608079","2009-09-24","","","8723814206-D14.docx"
"8723851781","8723851781-1","Sindhuli 1","Pipilamadi -Karmaiya Road Chainage. 12+500-. Road Construction work  including earthworks, gabion works and construction of slab culvert etc.","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 1-3 -> Actual Notice (URL)","","","","","","","","","",""
"8723851781","8723851781-10","Expression of Interest 2","Survey Equipments","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-11","Expression of Interest 3","Road Construction Hand Tool","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-12","Expression of Interest 4","Office Equipment","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-13","Expression of Interest 5","Office Supplies","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-14","Expression of Interest 6","Spare Parts","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-15","Expression of Interest 7","Construction Saftey Equipments","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-16","Expression of Interest 8","Detailed Engineering Survey and Design of Roads and Water Supply Schemes","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-17","Expression of Interest 9","Printing and Press Service","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-18","Expression of Interest 10","Advertising","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-19","Expression of Interest 11","Information Technology Service","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-2","Sindhuli 2","Pipilamadi -Karmaiya Road Chainage. 12+300-. Road Construction work  including earthworks, gabion works and construction of slab culvert etc.","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 1-3 -> Actual Notice (URL)","","","","","","","","","",""
"8723851781","8723851781-20","Expression of Interest 12","Vehicle servicing and maintenance","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-21","Expression of Interest 13","Insurance","Consultant Services","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723851781","8723851781-3","Sindhuli 3","Pipilamadi -Karmaiya Road Chainage. 3+000-. Road Construction work  including earthworks, gabion works and construction of slab culvert etc.","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 1-3 -> Actual Notice (URL)","","","","","","","","","",""
"8723851781","8723851781-4","Okhaldhunga 1","Pavement Surface Improvement Works through cobble soling( Okhaldhunga Rampur Road Ch: 2+550 – 3+765)","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 4-6 ->Tender Notices","","","","","","","","","",""
"8723851781","8723851781-5","Okhaldhunga 2","Payment Surface Improvement Works through gravel laying work B-K Road Ch: 25+730 - 27+236","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 4-6 ->Tender Notices","","","","","","","","","",""
"8723851781","8723851781-6","Okhaldhunga 3","Payment Surface Improvement Works through cobble soiling (Okhaldhunga Rampur Road 2+650 - 3+865)","Civil Works","8723851781 -> Procurement Notices -> Procurement Notice 4-6 ->Tender Notices","","","","","","","","","",""
"8723851781","8723851781-7","Khotang 1","Gabion, Wheelbarrow and Hand Tools","Goods","8723851781 -> Planning Documents -> Khotang","","","","","","","","","",""
"8723851781","8723851781-8","Okhaldhunga 4","Wheelbarrows, handtools, gabion wire","Goods","8723851781 -> Planning Documents -> Okaldhunga","","","","","","","","","",""
"8723851781","8723851781-9","Expression of Interest 1","Construction Materials","Goods","8723851781 -> Expression of Interest","","","","","","","","","",""
"8723883713","8723883713-1","Jagati (Police Station) – Doleshwor - Ashapuri Road Sub-Project from 0+000-4+000. Contract no. RRRSDP/BKT/RR/NCB/005.","Construction of Masonry Wall, Cross Drainage, Masonry Drain, Earthwork, Gabion Wall, Gravelling works, Premixed Carpet etc. of the Jagati (Police Station) – Doleshwor - Ashapuri Road from 0+000-4+000.","Civil Works","http://edolidar.gov.np/tender_details.php?tid=11691","87","M/S Prera - RJ Construction JV","Nepal","49650064","NPR","594223","2012-07-09","","2013-10-13","http://edolidar.gov.np/contract.php?buyer_id=821"
"8723883713","8723883713-10","Talawang Shahidmarg-Rak Road from  0+000 to 17+180. Contract number RRRSDP/ Rolpa/RR/NCB/006.","Tender Notice for the Construction (Construction of Cross Drainage, Masonry Drain, Earthwork, Dry Wall, Gabion Wall, Stone Pitching etc.) of Talawang Shahidmarg-Rak Rural Road from  0+000 to 17+180.","Civil Works","http://edolidar.gov.np/tender_details.php?tid=11981 | Project-8723883713/8723883713-D17.pdf","88","M/S Thodung-Siddhi Sai Prakash J/V","Nepal","38977335","NPR","466490","2012-07-08","","2013-07-04","http://edolidar.gov.np/contract.php?buyer_id=871"
