"Database ID","OAP ID","AMP ID","Development Partner Project ID","Development Partner","Project Title","OAP Sector","AMP Sector","Description","Partner Ministry","Partner Department","StartDate","EndDate","TotalCommitment($US)","TotalDisbursement($US)","Project Info Source"
"OAP33","OAP33","8723879323","35174-042","Asian Development Bank","Education Sector Program (Subprogram III)","Education","EDUCATION","To Prepare the School Sector Reform Program.","Ministry of Education","","2008-01-20","","600000","454147","AMP"
"OAP34","OAP34","","35174-013","Asian Development Bank","Education Sector Program I","Education","","The overall objective of the Education Sector Program I (ESP I) is to contribute to poverty reduction in Nepal by increasing the level of education attainment, particularly for girls and disadvantaged groups. ESP I aims at achieving: (i) improved policy interventions in primary and basic education and performance targets under the Nepal Education for All (EFA) 2004-2009, and (ii) a broadly accepted and financed 1-12 school sector reform and restructuring framework, for implementation by FY2010. ESP I will support EFA by joining the Joint Financing Agreement (JFA). It will help finance the three remaining years of EFA, and help monitor, assess and improve policy implementation under EFA jointly with other pooling donors. Furthermore, ESP I will support the Government's ongoing process of preparing a policy, governance, management, and financing framework appropriate for an integrated 1-12 school sector. This support will be provided in a joint and harmonized manner with other donors in the context of a program based approach.","Ministry of Education & Sports","","2006-01-12","2009-09-01","30000000","","http://www.adb.org/projects/35174-013/main"
"OAP55","OAP55","","34022-022","Asian Development Bank","Secondary Education Support Project","Education","","The Project's objective is to improve the quality of public secondary education and improve access to education for the underserved groups, particularly girls and children from disadvantaged groups. The Project will have four components: (i) increasing equitable access to an improved learning environment especially for educationally disadvantaged groups, ethnic minorities, and girls; (ii) an improved and relevant curriculum, improved assessment and accessible instructional materials; (iii) an improved and sustainable system for the education, development and management of teachers; and (iv) improved institutional capacity and management for more efficient and effective delivery of education.","Ministry of Education & Sports","","","","","","http://www.adb.org/projects/34022-022/main"
"OAP56","OAP56","87238841335","44238-012","Asian Development Bank","Urban Transport Planning and Management","Transport","URBAN DEVELOPMENT","To develop the capacity of major cities in urbantransport planning and management to address the fast-growing demand for urban travel.","Ministry of Urban Development","Department of Urban Development & Building Construction","2012-02-02","","800000","139246","AMP"
"OAP57","OAP57","8723869177","44143-013","Asian Development Bank","Subregional Transport Enhancement Project","Transport","ROAD TRANSPORTATION","Road Improvement component, upgrading 195 Km of roads including    Salleri-Okhaldhunga (58 Km)  Okhaldhunga-Harkapur road (41 Km)  Khandbari-Chainpur road (44 Km)  Bhairahawa Bypass (3.5 Km)  Belbari-Chauharwa road (47 Km)    Trade facilitation component, designing business processing reengineering and upgrading of computer systems  Capacity building component, enhancing the capacity of road sector institutions in project management, road asset management and road technology","Ministry of Physical Planning, Works and Transport Management","","","","49000000","10015815","AMP"
"OAP58","OAP58","8723869224","44058-013","Asian Development Bank","Kathmandu Sustainable Urban Transport Project","Transport","ROAD TRANSPORTATION","Public transport is improved and upgraded, and capacity of Department of Transport Management is strengthened  Traffic management is improved  Walkability in the city center is improved  Monitoring of air quality is enhanced","Ministry of Physical Planning, Works and Transport Management","","2011-01-26","","20000000","2719332","AMP"
"OAP67","OAP67","8723892735","31624-023","Asian Development Bank","Melamchi Water Supply Project","WatSan","","Melamchi Water Ssupply project abstracts water from Melamchi River (Sindhupalchowk District) and will pass it through a 26.5 Km long tunner delivering to Sundarijal Water Treatment Plant. The first phase will draw 17 million liters of water from Melamchi River. The second phase and the third phase will draw water from Yangri and Larke river adding again 17 million liters per day from each river in second and third phase respectively. Thus, in the first phase 17 million litres of treated water will be added daily to Kathmandu Valley.","Ministry of Urban Development","","2001-11-28","","137000000","","AMP"
"OAP69","OAP69","872382130","36609-013","Asian Development Bank","Kathmandu Valley Water Services Sector Development Program (Program Loan)","WatSan","DRINKING WATER","The aim of the Project is to improve, on a sustainable basis, the operation of the water supply and wastewater services within the metropolitan and urban areas of the Kathmandu Valley. The objective of the Project is to support the water sector institutional reforms introduced under the Program and the scope of the Project includes: (i) introduction of the CBP Team; (ii) implementation assistance for the three (3) entities to be established under the Program, namely KVWSMB, the KUKL and the WSTFC; and (iii) completion of the process of computerization of the billing and accounting systems for the KUKL branches in the Kathmandu Valley.","Ministry of Physical Planning, Works and Transport Management","","2003-12-18","2009-03-31","15000000","2338151","http://www.adb.org/projects/36609-013/main"
"OAP7","OAP7","8723897729","","Government of Finland","Rural Water Supply and Sanitation Project in Western Nepal [RWSSP-WN]","WatSan","LOCAL DEVELOPMENT","About 80,000 people will be benefited by water supply, 250000 people will be benefited by hygiene and sanitation, 10,000 people will be benefited by arsenic mitigation and 200000 people will be benefited by IGA, capacity buildings etc.","Ministry of Federal Affairs and Local Development","","2008-01-08","","15292356","8614190","AMP"
"OAP70","OAP70","872381141","32249-013","Asian Development Bank","Community-Based Water Supply and Sanitation Sector","WatSan","DRINKING WATER","Communities Mobilized and Capacitated  Community water supply and Sanitation Facilities constructed  Improved awareness on Hygiene, Health and Sanitation  Improved participation of women and disadvantaged, ethnic / caste groups in subprojects  DDC capacity Strengthened to provide water supply and sanitation services  Strengthened DWSS to facilitate and monitor the water supply and sanitation sector on behalf MPPW","Ministry of Physical Planning, Works and Transport Management","","2004-01-01","","24000000","23858024","AMP"
"OAP71","OAP71","8723892735","","Asian Development Bank","Melamchi Water Supply (Engineering)","WatSan","","The Project will assist the Government to prepare an investment project to provide water to Kathmandu Valley from the Melamchi River and to investigate the feasibility of artificial recharge of groundwater in the Kathmandu Valley. It will consist of three parts: (i) investigation, detailed design and preparation of tender documents for the bulk distribution of water from the new water treatment plant to the urban centers; (2) provision of overall project management support to coordinate the activities being funded by all six agencies, review designs and construction of all project components, report on project progress, and account for project costs; and (3) implementation of a pilot project to test the feasibility of artificial recharge of groundwater in Bishnumathi and Manohara river sites.","","","1998-11-10","","5000000","","http://www.adb.org/projects/31624-013/main"
"OAP72","OAP72","8723811542","34304-043","Asian Development Bank","Kathmandu Valley Water Supply Improvement Project","WatSan","DRINKING WATER","1.Rehbilitation and expansion of water supply system     Bulk water distribution system(BDS), distribution network improvement(DNI) and service reserviors;    Provision of individual connections to the citizens, especially the poor and female-headed households; efficiency improveemtn in water supply    Provision of 24 hour water supply in at lest 10% of service area    Efficiency improvemet in water supply    2. Suupport fo operational and financial improveemtns and capacity building     Capacity building, improvement of governance and achievemetn of time bound targets    Operatioanalisation of NRW assesment and reduction paln    Operatioanlisation of aset management plan    Updating of water supply geographical information system    improvemetn of service delivey    community participation and public educationf ro helath, hygiene and behaviour change    Gender equility adnd social inclusion action plan    Monitoring and evalutaion","Ministry of Urban Development","","2012-01-01","","80000000","8001279","AMP"
"OAP73","OAP73","872381731","41022-022","Asian Development Bank","Second Small Towns Water Supply and Sanitation Sector Project","WatSan","DRINKING WATER","Developing the urban water supply and sanitation sector    Water supply and sanitation services approximately 20 project towns    Project management and operation","Ministry of Urban Development","","2010-01-24","","45100000","6665086","AMP"
"OAP74","OAP74","872381521","41022-012","Asian Development Bank","Preparing the Improved Water Quality, Sanitation, and Service Delivery in Emerging Towns Sector Development Program","WatSan","","To prepare the improved water quality, sanitation and service delivery in emerging town sector devt study","Ministry of Physical Planning, Works and Transport Management","","2008-02-01","","705470","","AMP"
"OAP75","OAP75","","34304-012","Asian Development Bank","Kathmandu Valley Water Distribution, Sewerage, and Urban Development","WatSan","","Given the increasing urban population, basic urban services needs is also increasing at the rapid pace in the Kathmandu Valley. Considering this rapid urbanization, it is essential that the urban areas in Nepal prepare a long term strategy and investment/financing plan to meet the required urban basic services needs including water supply, wastewater management, urban transport, and solid waste management services. Under the ongoing ADB's Melamchi Water Supply Project (MWSP) and Kathmandu Valley Water Services Sector Development Program (KVWSSDP), water supply and wastewater management services in the Kathmandu Valley are being improved. In particular, the KVWSSDP supports institutional reforms in the water supply and sanitation (WSS) sector in the Kathmandu Valley by establishing the Water Utility Operator (WUO) which will be managed by a competitively selected private sector form through a performance based management contract. The major water source augmentation works for the Kathmandu Valley which aim to divert water from the Melamchi Valley are being undertaken under the MWSP. However, since the capital costs for the water source augmentation is substantial, the water distribution networks and the wastewater management works are to be taken up in the phases. Finally, solid waste management is becoming a serous problem in the Kathmandu Valley as the municipalities could not find a long-term solution for solid waste disposal, resorting to use of several temporary sites in the face of the residents' protests against nearby disposal sites. The primary objective of the proposed PPTA is to prepare a loan project to improve the basic urban services in the Kathmandu Valley including water supply, wastewater management, solid waste management, drainage and urban transport, backed by a long-term urban strategy and, in the WSS sector, a capital investment and asset management plan (CIAMP) for the WUO. Particular emphasis will be put on the coordination among parties carrying out various urban infrastructure development activities and/or providing various urban services, regarding excavation, construction safety, environmental impact mitigation, traffic management/temporary detouring, and road resurfacing. The TA outputs consist of (i) a project preparation report for the ensuing loan, including design and monitoring framework, components, implementation arrangements, cost estimates and financing plan, and comprehensive feasibility studies in conformity with ADB requirements; (ii) an implementation manual for a smooth and efficient execution of the DNI works, including (a) a traffic, environmental and safety management strategy such as temporary detouring arrangements during excavation and (b) an effective coordination mechanism with operators of other underground utilities, municipal public works departments and local police; (iii) initial 5-year rolling CIAMP for the WUO; and (iv) an urban sector review and long-term urban development strategy based on growth scenarios assessment in the Kathmandu Valley and other emerging urban areas in Nepal.","","","2006-12-13","","400000","","http://www.adb.org/projects/34304-012/details"
"P095977","OAP18","872381265","P095977","World Bank","Road Sector Development Project","Transport","","297 Km of road upgraded, resettled and rehabilitated  450Km or road manitained periodically  Human resources of DOR developed mainly in the field fo geotechnology, environment and social development, IT and MIS etc","Ministry of Physical Planning, Works and Transport Management","","2008-01-04","","117031439","","AMP"
"P099296","OAP19","","P099296","World Bank","Irrigation & Water Resources Management Project","WatSan","","The Nepal Irrigation and Water Resources Management Project aims to improve irrigated agriculture productivity and management of selected irrigation schemes, and enhance institutional capacity for integrated water resources management. The primary target beneficiary groups of the project are the water users of the selected irrigation schemes. The project includes the following components: (a) irrigation infrastructure development and improvement (b) irrigation management transfer reform (c) institutional and policy support for improved water management, and (d) integrated crop and water management.","","Department of Irrigation","2007-12-06","2013-06-30","60000000","","http://www.worldbank.org/projects/P099296/irrigation-water-resources-management-project?lang=en"
"P112893","OAP10","8723851788","P112893","World Bank","Kabeli Transmission Project","Energy","ELECTRICITY","Support the additional of transmission capacity to the Recipient's integrated power system; and  Provide access to electricity and cooking fuel to communities in the area of the Kabeli 132 kV transmission line.","Ministry of Energy","","2011-09-21","","36752658","4685964","AMP"
"P125495","OAP9","87238752564","P125495","World Bank","Bridges Improvement and Maintenance Program","Transport","ROAD TRANSPORTATION","Major Maintenance 716 bridges, 35476 m    Construction backlog completion 11 bridges    New crossings 267 bridges    Minor maintenance 100 bridges    Routine maintenance 711 bridges","Ministry of Physical Planning, Works and Transport Management","","","","60000000","","AMP"
"8723883713","OAP3","8723883713","40554","Asian Development Bank","Rural Reconstruction and Rehabilitation Sector Development Program (RRRSDP)","Transport","","promotion of rehabilitation, economic growth, and poverty reduction through institutional reforms and rural infrastructure development.rural roads, supplementary roads, community empowerment , PMS.","Ministry of Federal Affairs and Local Development","","2008-02-01","","140155133","","AMP"
"OAP15","OAP15","8723883742","P113441","World Bank","Nepal: School Sector Reform Program","Education","EDUCATION","To ensure equitable access to quality basic education for all children in 5-12 age group.  To improve the access, equity, quality and relevance of secondary education.  To enhance functional literacy and basic competencies among youths and adults.  To equip secondary level students with TVET soft skills.  To enhance teachers' qualifications and professional competencies to better facilitate students learning processes.  To improve the performance of the MOE service delivery system and develop the capacity to implement critical reforms.  To monitor programme inputs, processes, and outputs and evaluate the impact of the Plan.  To improve the efficiency and effectiveness of aid available for SSRP implementation  The program runs from 2009-10 to 2013-14. Total budget is USD 2626.01 million, out of which donors provide USD 624.99 million (23.8%).","Ministry of Education","","2010-01-01","","160805086","80000000","AMP"
